interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-05-30 22:26:00 UTC,NBA,-0.7269,0.204,0.926,99
2019-05-30 22:26:00 UTC,DeMarcus Cousins,0.2023,0.354,0.6249,11
2019-05-30 22:02:00 UTC,Norman Powell,-0.2732,-0.273,-0.2732,1
2019-05-30 22:08:00 UTC,Kevon Looney,0.6808,0.681,0.6808,1
2019-05-30 22:00:00 UTC,Draymond Green,0.2283,0.44,0.6515,2
2019-05-30 22:28:00 UTC,Kevin Durant,-0.34,-0.003,0.6597,6
2019-05-30 22:04:00 UTC,Stephen Curry,0.34,0.42,0.5994,5
2019-05-30 22:09:00 UTC,Toronto,-0.5859,0.281,0.9153,61
2019-05-30 22:24:00 UTC,#Warriors,0.4019,0.402,0.4019,1
2019-05-30 22:05:00 UTC,Raptors,-0.628,0.292,0.92,89
2019-05-30 22:17:00 UTC,Andre Iguodala,0.807,0.807,0.807,1
2019-05-30 22:26:00 UTC,Steve Kerr,0.34,0.565,0.7906,2
2019-05-30 22:13:00 UTC,Warriors,-0.6972,0.282,0.8481,52
2019-05-30 22:17:00 UTC,Klay Thompson,-0.1531,0.307,0.5106,4
2019-05-30 22:02:00 UTC,#NBAFinals,-0.7403,0.348,0.891,32
2019-05-30 22:17:00 UTC,#Game,-0.5067,-0.507,-0.5067,1
2019-05-30 22:23:00 UTC,#Warriors,0.5994,0.679,0.7579,2
2019-05-30 22:19:00 UTC,Draymond Green,-0.1513,0.384,0.6515,3
2019-05-30 22:31:00 UTC,#NBAFinals,0.128,0.594,0.926,44
2019-05-30 22:21:00 UTC,#DubNation,0.4215,0.534,0.7579,3
2019-05-30 22:05:00 UTC,#Team,-0.5411,-0.541,-0.5411,1
2019-05-30 22:14:00 UTC,Klay Thompson,0.5106,0.511,0.5106,4
2019-05-30 22:15:00 UTC,Kevon Looney,-0.3612,-0.361,-0.3612,1
2019-05-30 22:01:00 UTC,Kevin Durant,-0.5719,-0.031,0.5093,2
2019-05-30 22:12:00 UTC,Marc Gasol,0.8151,0.815,0.8151,1
2019-05-30 22:29:00 UTC,#Raptors,-0.4404,0.242,0.5719,4
2019-05-30 22:06:00 UTC,DeMarcus Cousins,0.2023,0.352,0.6249,21
2019-05-30 22:15:00 UTC,#Team,-0.5411,-0.541,-0.5411,2
2019-05-30 22:20:00 UTC,Draymond Green,0.128,0.547,0.6515,5
2019-05-30 22:09:00 UTC,NBA Finals,-0.5267,0.377,0.9006,19
2019-05-30 22:15:00 UTC,Warriors,-0.765,0.362,0.9022,84
2019-05-30 22:10:00 UTC,NBA,-0.7136,0.285,0.9006,97
2019-05-30 22:15:00 UTC,Golden State,-0.7003,0.556,0.7783,16
2019-05-30 22:32:00 UTC,Steve Kerr,0.34,0.361,0.4019,3
2019-05-30 22:17:00 UTC,Toronto,-0.7074,0.3,0.8883,48
2019-05-30 22:30:00 UTC,Toronto,-0.8316,0.304,0.8172,55
2019-05-30 22:05:00 UTC,#DubNation,-0.34,0.325,0.7437,3
2019-05-30 22:26:00 UTC,#DubNation,-0.8193,-0.356,0.5719,3
2019-05-30 22:32:00 UTC,Kyle Lowry,-0.5984,-0.081,0.4374,2
2019-05-30 22:30:00 UTC,#Sports,-0.5729,0.007,0.5859,2
2019-05-30 22:30:00 UTC,#StephCurry,-0.296,-0.296,-0.296,1
2019-05-30 22:22:00 UTC,Serge Ibaka,0.5106,0.511,0.5106,1
2019-05-30 22:01:00 UTC,Nav Bhatia,0.6249,0.625,0.6249,1
2019-05-30 22:08:00 UTC,Klay Thompson,-0.1027,0.488,0.7269,8
2019-05-30 22:28:00 UTC,Toronto,-0.687,0.395,0.9718,47
2019-05-30 22:24:00 UTC,#NBAFinals,-0.872,0.381,0.8126,36
2019-05-30 22:20:00 UTC,Raptors,-0.7501,0.351,0.9536,144
2019-05-30 22:08:00 UTC,#DubNation,0.4215,0.421,0.4215,4
2019-05-30 22:16:00 UTC,#Raptors,-0.4404,-0.092,0.7906,5
2019-05-30 22:08:00 UTC,Kawhi Leonard,0.2023,0.385,0.596,4
2019-05-30 22:02:00 UTC,#Basketball,0.4939,0.494,0.4939,1
2019-05-30 22:10:00 UTC,Steve Kerr,-0.6486,-0.235,0.1779,2
2019-05-30 22:04:00 UTC,Draymond Green,-0.1513,0.451,0.6515,4
