interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-06-03 00:16:00 UTC,Jodie Meeks,0.34,0.34,0.34,1
2019-06-03 00:35:00 UTC,Serge Ibaka,0.6369,0.637,0.6369,1
2019-06-03 00:48:00 UTC,Eric Moreland,-0.296,-0.296,-0.296,1
2019-06-03 01:01:00 UTC,Nav Bhatia,-0.308,-0.308,-0.308,1
2019-06-03 01:00:00 UTC,Jodie Meeks,-0.7096,-0.71,-0.7096,1
2019-06-03 00:10:00 UTC,Nav Bhatia,0.4767,0.477,0.4767,1
2019-06-03 01:13:00 UTC,Jonas Jerebko,-0.6037,0.004,0.6124,2
2019-06-03 00:52:00 UTC,Damion Lee,0.4404,0.44,0.4404,1
2019-06-03 01:02:00 UTC,Jeremy Lin,0.4824,0.482,0.4824,1
2019-06-03 00:46:00 UTC,Serge Ibaka,0.5893,0.589,0.5893,2
2019-06-03 01:08:00 UTC,Jonas Jerebko,0.1027,0.165,0.2263,2
2019-06-03 00:48:00 UTC,Serge Ibaka,0.5893,0.589,0.5893,1
2019-06-03 00:53:00 UTC,Jonas Jerebko,0.4588,0.459,0.4588,1
2019-06-03 01:00:00 UTC,#Player,0.9436,0.944,0.9436,1
2019-06-03 01:12:00 UTC,#KevinDurant,-0.296,-0.011,0.2732,2
2019-06-03 00:56:00 UTC,Jordan Bell,-0.6435,-0.643,-0.6435,1
2019-06-03 00:54:00 UTC,Serge Ibaka,-0.0516,0.338,0.5994,4
2019-06-03 01:00:00 UTC,Serge Ibaka,-0.3612,-0.361,-0.3612,1
2019-06-03 00:18:00 UTC,Jodie Meeks,0.4404,0.44,0.4404,1
2019-06-03 01:08:00 UTC,#KevinDurant,0.2732,0.576,0.8779,2
2019-06-03 00:44:00 UTC,Nav Bhatia,0.2732,0.273,0.2732,1
2019-06-03 00:58:00 UTC,Serge Ibaka,0.5893,0.589,0.5893,1
2019-06-03 00:55:00 UTC,Jonas Jerebko,-0.631,-0.034,0.4019,3
